BARRIO,CLIENTE,MNT TRX,PORCENTAJE POR CLIENTE
Barrio Eucarístico,4.57E+18,196121970,0
Industrial,2.06E+17,196082007,0
San Vicente,4.39E+18,196081127,0
San Fernando Viejo,-7.50E+18,196068191,0
Urbanización Tequendama,4.25E+18,196038120,0
Urbanización Militar,5.40E+18,196025020,0
Alfonso López II,-4.48E+18,196014150,0
San Pedro,-7.37E+18,196010358.5,0
Urbanización Militar,6.38E+18,195999560,0
El Ingenio,5.00E+18,195998565,0
Urbanización Militar,5.59E+18,195986145,0
Granada,4.32E+18,195968315,0
Mayapan-Las Vegas,-1.57E+18,195933149.5,0
Juanambu,2.21E+18,195911420,0
El Ingenio,3.39E+18,195891960,0
El Sena,-6.43E+18,195888595,0
El Sena,-4.13E+18,195828830,0
San Vicente,-1.73E+18,195802486,0
San Vicente,6.77E+18,195792613.5,0
Santa Mónica Residencial,2.90E+18,195733235.5,0
La Merced,1.67E+18,195733165,0
San Vicente,8.77E+18,195730430.5,0
Granada,5.12E+18,195725625,0
San Vicente,3.00E+18,195701852.5,0
San Vicente,8.52E+18,195678472,0
San Vicente,7.90E+18,195656472,0
San Vicente,-7.18E+18,195656472,0
San Vicente,4.76E+18,195656472,0
San Vicente,7.71E+18,195656472,0
San Vicente,-7.43E+18,195656472,0
San Vicente,7.65E+18,195656472,0
San Vicente,-4.49E+18,195656472,0
San Vicente,-4.43E+18,195656472,0
San Vicente,2.62E+17,195656472,0
San Vicente,-6.17E+17,195656472,0
San Vicente,-5.88E+18,195656472,0
San Vicente,-4.87E+18,195656472,0
San Vicente,-7.90E+18,195656472,0
El Guabal,-1.39E+17,195507930,0
Alfonso Barberena,-3.39E+18,195466995,0
Alfonso Barberena,-1.65E+18,195466995,0
Parcelaciones Pance,6.81E+18,195451310,0
Mayapan-Las Vegas,-7.32E+18,195397779.5,0
Santa Mónica Residencial,1.27E+18,195393434.5,0
San Fernando Viejo,-8.88E+17,195380075,0
Urbanización Ciudad Jardín,6.76E+18,195376410,0
San Pedro,6.18E+18,195352745.5,0
Mayapan-Las Vegas,7.26E+18,195333083,0
Mayapan-Las Vegas,-5.86E+18,195325795.5,0
Mayapan-Las Vegas,8.85E+18,195325795.5,0
Mayapan-Las Vegas,1.12E+18,195309339.5,0
Santa Mónica Residencial,-8.53E+18,195217374,0
La Merced,-8.48E+18,195195865,0
Chapinero,-2.13E+18,195188145,0
San Cristobal,1.08E+18,195055110,0
Parcelaciones Pance,6.74E+18,195048995,0
El Sena,-8.90E+18,195036210,0
San Pedro,7.69E+18,195007472,0
El Peñón,-3.58E+18,194895453.5,0
San Nicolás,5.88E+18,194883628.5,0
Centenario,6.49E+18,194818730,0
San Nicolás,-7.60E+18,194783176.5,0
Juanambu,-6.07E+18,194687705,0
Parcelaciones Pance,-2.70E+18,194574420,0
Parcelaciones Pance,-5.95E+18,194574420,0
Urbanización Ciudad Jardín,-8.45E+17,194567030,0
Los Libertadores,-7.63E+18,194551875,0
Los Libertadores,-1.31E+17,194551875,0
El Cedro,8.90E+18,194442000.5,0
Mayapan-Las Vegas,3.08E+18,194364967.5,0
El Cedro,-6.45E+18,194359693,0
Alameda,-2.39E+18,194344830,0
Mayapan-Las Vegas,-2.04E+18,194320747.5,0
Camino Real-Joaquín Borrero,6.86E+18,194292980,0
Laureano Gómez,-1.57E+18,194263235,0
Urbanización Ciudad Jardín,6.05E+18,194199420,0
Los Cambulos,-4.10E+18,194117395,0
Ciudad Córdoba,5.20E+18,194106755,0
Sucre,-1.89E+18,194034550,0
Siete de Agosto,7.38E+18,194033650,0
La Alianza,6.13E+18,194018290,0
Urbanización Ciudad Jardín,2.36E+18,194016035,0
Santa Mónica Residencial,4.39E+18,193995950.5,0
Guillermo León Valencia,7.85E+18,193885095,0
Los Cambulos,-5.94E+18,193875055,0
El Refugio,-3.04E+18,193836840,0
Torres de Comfandi,-7.72E+18,193753230,0
Mayapan-Las Vegas,1.55E+18,193731103.5,0
San Pedro,4.82E+18,193703565,0
Lili,7.98E+17,193588005,0
El Guabal,6.42E+18,193555640,0
San Vicente,6.69E+18,193510779,0
San Vicente,3.96E+18,193484186.5,0
San Vicente,2.81E+18,193484186.5,0
San Vicente,-2.39E+18,193484186.5,0
Centenario,-6.26E+17,193471135,0
Desepaz Invicali,3.02E+18,193445070,0
Granada,8.19E+18,193443405,0
El Gran Limonar,-2.19E+17,193442936.5,0
Saavedra Galindo,-1.38E+18,193427370,0
Ciudad Córdoba,-2.17E+18,193425285,0
San Pedro,-2.86E+18,193343656,0
Los Portales-Nuevo Rey,-3.08E+18,193321840,0
Bretana,-1.76E+18,193241275,0
Urbanización Ciudad Jardín,7.91E+18,193108170,0
Cataya-El Gran Limonar,9.57E+17,193044020,0
San Vicente,7.43E+17,193038494,0
Juanambu,5.88E+18,192943665,0
Urbanización Tequendama,-6.55E+17,192860610,0
Urbanización Tequendama,-2.67E+18,192842805,0
Sucre,6.78E+18,192838035,0
Nueva Tequendama,-3.74E+18,192768510,0
Nueva Tequendama,2.00E+18,192768510,0
Nueva Tequendama,5.18E+18,192768510,0
Ville Grande,-3.94E+18,192765765,0
Ville Grande,7.74E+18,192765765,0
Ville Grande,1.04E+18,192765765,0
Ville Grande,3.45E+18,192765765,0
El Gran Limonar,4.37E+18,192734047,0
El Gran Limonar,7.91E+18,192647895,0
Departamental,-1.58E+18,192506420,0
San Pedro,1.08E+18,192369567.5,0
Versalles,2.46E+18,192216156,0
Los Cambulos,7.50E+18,192196000,0
Unicentro Cali,-1.82E+18,192178170,0
El Peñón,5.78E+18,192163191,0
Versalles,1.20E+17,192124614,0
Versalles,2.34E+18,192124614,0
Ciudad Los Álamos,-8.64E+18,192017955,0
Chapinero,8.31E+18,191954105,0
Chapinero,6.18E+18,191926720,0
San Fernando Viejo,-3.78E+18,191903954,0
Parcelaciones Pance,-7.88E+18,191836225,0
La Flora,7.82E+18,191742465,0
El Limonar,-4.67E+18,191690655,0
El Limonar,4.46E+18,191690655,0
Urbanización Tequendama,3.27E+18,191595605,0
El Gran Limonar,1.32E+18,191593022.5,0
Urbanización Tequendama,5.61E+18,191566840,0
Urbanización San Juaquín,-6.27E+18,191522360,0
El Troncal,-8.15E+18,191416290,0
Urbanización Ciudad Jardín,-4.42E+17,191387565,0
El Calvario,7.12E+18,191365660,0
Centenario,2.62E+17,191364710,0
San Vicente,-4.49E+18,191311901,0
San Vicente,-2.12E+18,191311901,0
San Vicente,3.49E+18,191311901,0
San Vicente,-4.06E+18,191311901,0
Guillermo León Valencia,-1.89E+18,191251815,0
Urbanización Ciudad Jardín,-5.92E+18,191120880,0
Bajos Ciudad Córdoba,7.42E+18,191079669,0
Bajos Ciudad Córdoba,-8.81E+18,191079669,0
Bajos Ciudad Córdoba,-3.77E+18,191079669,0
Bajos Ciudad Córdoba,-3.35E+18,191079669,0
San Nicolás,1.39E+18,191023959.5,0
Urbanización Ciudad Jardín,-8.00E+18,190995030,0
El Piloto,4.93E+17,190982670,0
Nueva Tequendama,-7.45E+18,190943810,0
Los Cambulos,6.49E+18,190939275,0
Urbanización Ciudad Jardín,9.57E+17,190878145,0
Canaverales Los Samanes,-3.57E+18,190738310,0
Parcelaciones Pance,-1.88E+18,190729725,0
El Sena,9.06E+18,190702625,0
Ciudad Córdoba,-3.17E+18,190515985,0
San Nicolás,3.68E+18,190311979,0
El Calvario,-4.76E+18,190245870,0
La Ciudadela Confandi,-4.15E+18,190192650,0
Cataya-El Gran Limonar,6.64E+18,190191245,0
Santa Mónica Residencial,-4.61E+18,190169556.5,0
Urbanización San Juaquín,-6.76E+18,190088485,0
Santander,-6.91E+18,190080705,0
Ciudad 2000,-3.77E+18,190068735,0
Ciudad 2000,-3.67E+17,190036600,0
Ciudad 2000,4.87E+17,190004475,0
Camino Real-Joaquín Borrero,1.12E+18,189941390,0
Ciudad 2000,6.37E+18,189940175,0
Bretana,7.86E+18,189929445,0
Ciudad 2000,-9.19E+18,189908040,0
San Fernando Viejo,-6.31E+18,189856700,0
Urbanización La Flora,-2.58E+18,189838693,0
Acueducto San Antonio,-7.86E+18,189769545,0
San Nicolás,-8.26E+18,189753498,0
Alameda,3.02E+18,189743205,0
Santa Anita,-1.22E+18,189731380,0
Parcelaciones Pance,-4.92E+18,189705600,0
El Peñón,3.33E+18,189646297.5,0
San Vicente,8.62E+18,189645181,0
El Bosque,3.35E+18,189540840,0
El Bosque,-3.57E+18,189540840,0
El Limonar,7.93E+18,189490790,0
San Fernando Viejo,4.46E+18,189350749.5,0
San Fernando Viejo,8.90E+18,189350749.5,0
Ciudad Córdoba,-2.22E+18,189332945,0
Parcelaciones Pance,3.94E+18,189256275,0
El Ingenio,7.69E+18,189145605,0
San Vicente,-5.30E+18,189139615.5,0
San Vicente,5.21E+17,189139615.5,0
San Vicente,-1.30E+18,189139615.5,0
San Vicente,1.24E+18,189139615.5,0
San Vicente,-8.88E+17,189139615.5,0
San Vicente,-1.38E+18,189139615.5,0
San Vicente,-3.94E+18,189139615.5,0
San Vicente,-8.98E+17,189103816,0
Santa Mónica Residencial,-4.61E+18,189036683,0
12 de Octubre,-6.33E+18,189014295,0
Versalles,-2.37E+18,188979400.5,0
Cataya-El Gran Limonar,6.44E+17,188942830,0
Belalcazar,-7.50E+18,188919430,0
San Vicente,4.94E+18,188750523.5,0
El Sena,-8.31E+18,188676685,0
Granada,5.88E+18,188575520,0
El Sena,-7.10E+18,188549305,0
La Alianza,1.40E+18,188360665,0
Ciudad Córdoba,-3.03E+18,188312585,0
San Vicente,-5.19E+18,188193269,0
Urbanización Ciudad Jardín,6.22E+18,188174990,0
Canaveralejo-Seguros Patria,-7.63E+18,188163178.5,0
Quintas de Don Simón,9.14E+18,188036935,0
San Nicolás,9.03E+18,187923070.5,0
Parcelaciones Pance,8.00E+18,187885720,0
Urbanización San Juaquín,8.49E+18,187870385,0
Canaverales Los Samanes,6.55E+18,187603945,0
Urbanización Ciudad Jardín,2.19E+17,187592370,0
Cataya-El Gran Limonar,-5.19E+18,187590480,0
Primero de Mayo,6.61E+18,187516225,0
Urbanización La Merced,6.22E+18,187414860,0
Santa Mónica Residencial,6.94E+18,187409326.5,0
Cataya-El Gran Limonar,2.33E+18,187280835,0
Chipichape,8.31E+18,187225075,0
La Merced,-1.39E+18,187224420,0
El Cedro,8.14E+18,187222293.5,0
Cataya-El Gran Limonar,3.52E+18,187215975,0
San Pedro,-3.86E+18,187215864,0
Urbanización La Merced,2.53E+18,187138715,0
San Vicente,-7.17E+18,187096651.5,0
San Vicente,3.54E+18,187066027.5,0
Porvenir,7.99E+18,187056840,0
Porvenir,5.55E+18,187056840,0
Urbanización San Juaquín,-1.82E+18,187034490,0
Ciudad Capri,-6.95E+18,187026835,0
Urbanización Ciudad Jardín,-5.58E+18,186981045,0
San Vicente,-4.72E+18,186931530.5,0
Santa Mónica Residencial,-3.45E+18,186771288,0
El Refugio,-7.64E+18,186658755,0
Parcelaciones Pance,4.49E+18,186640365,0
San Vicente,1.20E+18,186601272,0
San Nicolás,4.10E+18,186594606,0
Urbanización Ciudad Jardín,2.21E+18,186586840,0
Granada,5.60E+18,186550285,0
Canaverales Los Samanes,-8.28E+18,186507015,0
Urbanización Ciudad Jardín,7.42E+18,186459850,0
Urbanización San Juaquín,5.93E+17,186398650,0
Urbanización San Juaquín,6.37E+18,186353855,0
Urbanización San Juaquín,-3.56E+18,186351215,0
Urbanización San Juaquín,8.34E+18,186299935,0
Brisas de los Álamos,-7.26E+18,186294150,0
Industria de Licores,-1.15E+18,186284760,0
Industria de Licores,-1.12E+18,186284760,0
San Pedro,-1.66E+18,186236671.5,0
San Nicolás,7.18E+18,186200685,0
Ciudad Capri,-8.33E+18,186116285,0
Chipichape,7.93E+18,186011990,0
Chapinero,-7.25E+18,185944160,0
Canaverales Los Samanes,-5.93E+18,185938350,0
Chapinero,-5.88E+18,185924010,0
La Ciudadela Confandi,-8.28E+18,185915515,0
Ciudad Los Álamos,4.27E+18,185851630,0
San Pedro,-5.04E+18,185837784,0
San Pedro,-6.02E+18,185837784,0
San Pedro,4.33E+18,185800004.5,0
Chapinero,1.88E+18,185799440,0
La Rivera,2.43E+18,185769309,0
Canaverales Los Samanes,7.72E+18,185749410,0
La Campina,6.54E+18,185732580,0
El Sena,9.21E+18,185700335,0
San Pedro,-4.50E+18,185691429,0
El Sena,2.27E+18,185668090,0
Canaveralejo-Seguros Patria,-3.13E+18,185643925.5,0
El Sena,-6.17E+18,185634155,0
Chapinero,-7.81E+18,185626230,0
Canaverales Los Samanes,-1.93E+18,185623450,0
Ciudad Córdoba,7.51E+17,185612905,0
Centenario,-6.29E+18,185598580,0
Canaverales Los Samanes,-7.67E+18,185591960,0
Canaverales Los Samanes,4.78E+18,185591960,0
Chapinero,3.62E+18,185584805,0
Canaverales Los Samanes,2.74E+18,185560470,0
El Rodeo,4.02E+18,185558715,0
Ciudad Córdoba,-3.40E+18,185558355,0
Chapinero,8.48E+18,185557350,0
Departamental,3.79E+18,185517795,0
Cataya-El Gran Limonar,-1.56E+18,185517215,0
Camino Real-Joaquín Borrero,-4.75E+18,185516895,0
Versalles,-7.10E+18,185502339,0
El Troncal,5.07E+18,185500440,0
El Ingenio,-2.04E+18,185483355,0
Barrio Eucarístico,5.27E+18,185482077,0
Villa del Sol,-3.59E+18,185458755,0
Lili,-6.58E+18,185374955,0
Urbanización San Juaquín,-5.65E+18,185308790,0
Bolivariano,8.52E+18,185298930,0
San Cristobal,-4.63E+18,185280870,0
Chapinero,1.37E+18,185239890,0
José M. Córdoba,-1.97E+18,185195700,0
Julio Rincón,-7.14E+18,185029850,0
Santander,-1.89E+18,184834685,0
Belalcazar,-5.64E+18,184790545,0
La Merced,-5.79E+18,184789965,0
La Merced,-7.90E+18,184789965,0
La Merced,-4.73E+18,184789965,0
La Merced,-2.06E+18,184789965,0
La Merced,6.51E+18,184789965,0
José M. Córdoba,5.68E+17,184774570,0
San Pedro,2.15E+18,184720448,0
El Limonar,-4.98E+18,184628100,0
Urbanización San Juaquín,-1.68E+18,184613060,0
Ciudad Los Álamos,7.82E+18,184602825,0
Buenos Aires,5.58E+18,184600145,0
Santa Anita,-2.78E+18,184562250,0
La Merced,3.96E+18,184558200,0
San Vicente,3.94E+18,184556949.5,0
Parcelaciones Pance,8.92E+18,184555475,0
Urbanización San Juaquín,-7.90E+18,184548345,0
San Fernando Nuevo,-7.54E+17,184502960,0
Urbanización San Juaquín,-2.87E+18,184489745,0
Alameda,2.21E+18,184479770,0
Urbanización San Juaquín,6.50E+17,184477865,0
Urbanización San Juaquín,4.29E+18,184422035,0
Los Comuneros I,-5.84E+18,184369230,0
Villa del Prado-El Guabito,7.74E+18,184299650,0
Santander,2.41E+18,184256400,0
Quintas de Don Simón,8.74E+17,184224025,0
Ciudad Los Álamos,4.62E+18,184219905,0
Parcelaciones Pance,-1.07E+17,184144380,0
San Nicolás,-8.92E+18,184035340.5,0
San Nicolás,-4.27E+18,184035340.5,0
Primitivo Crespo,7.84E+18,183980040,0
Primitivo Crespo,-1.38E+18,183980040,0
Primitivo Crespo,-6.65E+18,183980040,0
Primitivo Crespo,3.95E+18,183980040,0
San Nicolás,4.85E+18,183859098.5,0
Champagnat,-1.93E+18,183770284.5,0
El Peñón,-3.21E+18,183730948.5,0
San Pedro,8.51E+18,183703377,0
Urbanización San Juaquín,-3.14E+18,183702585,0
El Calvario,6.29E+18,183657345,0
El Calvario,2.73E+18,183657345,0
Ciudadela Floralia,3.82E+16,183593760,0
San Judas Tadeo II,-7.49E+18,183590795,0
El Calvario,-7.72E+18,183565045,0
Mayapan-Las Vegas,-4.70E+18,183549448.5,0
Mayapan-Las Vegas,-5.44E+18,183491715,0
Juanambu,-1.63E+18,183425390,0
Santa Mónica Belalcazar,3.35E+17,183379080,0
Santa Mónica Belalcazar,-4.10E+18,183379080,0
Quintas de Don Simón,-7.56E+18,183366895,0
El Diamante,5.53E+18,183365415,0
Mayapan-Las Vegas,-4.20E+18,183365237,0
Mayapan-Las Vegas,8.75E+18,183353907,0
La Merced,4.98E+18,183294135,0
Mayapan-Las Vegas,2.44E+18,183288600,0
Los Portales-Nuevo Rey,1.06E+18,183268485,0
El Peñón,-9.01E+18,183233704.5,0
El Peñón,4.27E+16,183233506.5,0
Alameda,-8.82E+17,183230140,0
Mayapan-Las Vegas,-1.31E+18,183193483,0
Mayapan-Las Vegas,-1.86E+18,183193483,0
Mayapan-Las Vegas,-9.63E+17,183186382.5,0
Mayapan-Las Vegas,6.05E+18,183177027,0
Camino Real-Joaquín Borrero,1.48E+17,183153000,0
Mayapan-Las Vegas,-7.09E+18,183136074,0
Mayapan-Las Vegas,6.27E+18,183132807,0
Mayapan-Las Vegas,8.35E+18,183132807,0
Mayapan-Las Vegas,-5.85E+17,183132807,0
Mayapan-Las Vegas,8.27E+18,183128786.5,0
Mayapan-Las Vegas,-1.82E+18,183128786.5,0
Mayapan-Las Vegas,-3.04E+18,183125778,0
Mayapan-Las Vegas,-8.48E+18,183125706.5,0
Mayapan-Las Vegas,6.22E+18,183125706.5,0
Mayapan-Las Vegas,-5.49E+18,183105043,0
Mayapan-Las Vegas,-2.18E+18,183105043,0
Urbanización Ciudad Jardín,2.53E+18,183100960,0
Mayapan-Las Vegas,-3.73E+18,183088587,0
Mayapan-Las Vegas,-7.64E+18,183088587,0
Mayapan-Las Vegas,2.82E+18,183088587,0
Mayapan-Las Vegas,-6.16E+18,183088587,0
Mayapan-Las Vegas,-5.12E+18,183088587,0
Mayapan-Las Vegas,4.54E+18,183088587,0
Mayapan-Las Vegas,-7.40E+18,183088587,0
Mayapan-Las Vegas,-7.60E+18,183088587,0
Mayapan-Las Vegas,-1.71E+18,183088587,0
Cataya-El Gran Limonar,-1.98E+18,183086970,0
Urbanización Ciudad Jardín,-4.37E+18,183078615,0
Cataya-El Gran Limonar,1.92E+18,183044115,0
San Antonio,-8.11E+18,183003215,0
San Pedro,2.87E+18,182879383.5,0
Chipichape,8.05E+18,182877670,0
Centenario,-8.45E+17,182873115,0
Centenario,2.84E+18,182818170,0
Urbanización La Nueva Base,6.88E+18,182762340,0
Urbanización La Nueva Base,4.23E+18,182762340,0
José Manuel Marroquin II,-2.39E+18,182738340,0
José Manuel Marroquin II,7.28E+18,182738340,0
José Manuel Marroquin II,-7.76E+18,182738340,0
José Manuel Marroquin II,-2.51E+18,182738340,0
San Vicente,1.37E+18,182727897,0
Urbanización Ciudad Jardín,-1.56E+18,182636685,0
Ciudad Capri,6.50E+17,182590715,0
Urbanización San Juaquín,9.69E+17,182579930,0
Saavedra Galindo,-9.13E+18,182575485,0
Urbanización San Juaquín,-5.69E+18,182572530,0
San Vicente,9.10E+18,182551160,0
San Pedro,-8.12E+18,182540044.5,0
Urbanización San Juaquín,-4.44E+18,182518590,0
La Merced,5.40E+18,182413720,0
Cataya-El Gran Limonar,4.10E+18,182391500,0
Sucre,2.06E+17,182345170,0
Alameda,-3.29E+18,182280930,0
Chipichape,1.07E+18,182183845,0
San Vicente,-3.32E+18,181975068,0
San Nicolás,-7.49E+18,181973302.5,0
3 de Julio,-2.04E+18,181963120,0
3 de Julio,-6.51E+18,181963120,0
El Cedro,8.42E+18,181909376,0
Santa Anita,3.69E+18,181850800,0
Chipichape,-5.57E+18,181844965,0
El Cedro,6.20E+18,181842210,0
Urbanización San Juaquín,7.89E+17,181771445,0
San Fernando Nuevo,-1.49E+18,181768430,0
La Ciudadela Confandi,8.64E+18,181638380,0
Nueva Tequendama,-1.57E+18,181632280,0
Panamericano,7.50E+18,181598290,0
Camino Real-Joaquín Borrero,9.02E+18,181484765,0
Meléndez,2.55E+18,181450215,0
El Gran Limonar,7.48E+18,181430018,0
Centenario,2.21E+18,181287025,0
San Nicolás,-8.09E+18,181227667.5,0
Ciudad Los Álamos,-7.00E+18,181215420,0
Santa Rosa,-3.34E+18,181124300.5,0
Mayapan-Las Vegas,7.42E+18,181111403,0
Santa Mónica Residencial,5.01E+17,180970416,0
San Fernando Nuevo,8.00E+18,180944875,0
Los Cambulos,7.88E+17,180858940,0
Ciudadela Floralia,8.89E+18,180788385,0
Alfonso Bonilla Aragón,3.37E+18,180674430,0
Alameda,-6.24E+18,180636915,0
Alfonso López III,-4.48E+18,180601395,0
San Nicolás,-7.41E+18,180550513,0
Santa Mónica Residencial,2.64E+18,180516677,0
San Pedro,7.48E+17,180490090,0
San Fernando Nuevo,-4.06E+18,180449455,0
Ciudad Los Álamos,2.86E+18,180434850,0
Parcelaciones Pance,6.64E+18,180419865,0
Manzanares,6.97E+17,180382080,0
Mayapan-Las Vegas,7.30E+18,180122811,0
Mayapan-Las Vegas,-2.92E+18,180122811,0
Mayapan-Las Vegas,-4.48E+18,180122811,0
Alameda,5.32E+18,180095020,0
Saavedra Galindo,-1.16E+17,180039720,0
Cataya-El Gran Limonar,3.39E+18,180037935,0
Santa Anita,8.90E+18,179911690,0
Santander,-6.43E+17,179876630,0
Granada,-4.80E+17,179870510,0
San Fernando Nuevo,3.90E+17,179866095,0
Villa del Prado-El Guabito,8.19E+18,179802045,0
San Judas Tadeo II,-6.27E+18,179667855,0
San Judas Tadeo II,5.07E+18,179667855,0
Saavedra Galindo,-7.72E+18,179644215,0
Granada,-6.83E+18,179582675,0
Ciudad Universitaria,-5.86E+18,179251650,0
Ciudad Universitaria,2.95E+18,179251650,0
Ciudad Universitaria,-5.58E+18,179251650,0
Centenario,-3.16E+18,179246245,0
Canaveralejo-Seguros Patria,5.95E+18,179236150.5,0
Urbanización Tequendama,8.14E+18,179230380,0
Urbanización San Juaquín,1.75E+18,179187740,0
Urbanización Ciudad Jardín,4.67E+18,179161090,0
Sucre,-3.24E+17,179109480,0
Centenario,-3.70E+18,179034520,0
San Pedro,-7.56E+18,178915517,0
Urbanización Tequendama,-7.67E+18,178803300,0
Mariano Ramos,-3.37E+18,178695645,0
Granada,4.89E+18,178636110,0
Urbanización Tequendama,-8.48E+18,178546970,0
Granada,3.94E+18,178522290,0
San Fernando Nuevo,-2.78E+17,178487345,0
La Merced,-2.79E+18,178366980,0
Santander,-6.14E+18,178269480,0
Urbanización San Juaquín,2.84E+18,178222955,0
San Pedro,7.42E+17,178104305.5,0
El Calvario,-2.03E+18,178062160,0
El Ingenio,6.71E+18,178042260,0
La Merced,-8.98E+18,177964650,0
San Fernando Nuevo,6.48E+18,177913565,0
Urbanización Ciudad Jardín,2.17E+18,177789935,0
Lili,-1.85E+18,177719300,0
Villa del Prado-El Guabito,-8.92E+18,177457835,0
Panamericano,7.38E+18,177387255,0
Paseo de los Almendros,-1.79E+18,177362490,0
Belisario Caicedo,-8.42E+18,177360630,0
San Fernando Nuevo,9.02E+17,177308420,0
Villa del Prado-El Guabito,5.23E+18,177265415,0
Centenario,4.11E+18,177244040,0
Villa del Prado-El Guabito,-5.79E+18,177190585,0
Santa Mónica Residencial,8.72E+18,177156347.5,0
San Fernando Nuevo,-1.09E+18,177098580,0
La Flora,5.66E+18,177087015,0
El Calvario,-3.17E+18,177009110,0
Villa del Prado-El Guabito,-4.33E+17,177008855,0
Villa del Prado-El Guabito,7.49E+18,176998165,0
Villa del Prado-El Guabito,-7.06E+18,176955405,0
Villa del Prado-El Guabito,-9.20E+18,176891265,0
Urbanización Tequendama,2.21E+17,176847120,0
Siete de Agosto,2.21E+18,176762940,0
Urbanización Ciudad Jardín,-8.16E+18,176733285,0
Santa Mónica Residencial,8.77E+18,176657244.5,0
Alférez Real,-5.69E+18,176639295,0
Urbanización Ciudad Jardín,-2.28E+18,176592555,0
El Bosque,1.30E+18,176567265,0
El Bosque,3.71E+17,176567265,0
Camino Real-Los Fundadores,-4.77E+18,176542495,0
Juanambu,3.55E+18,176370900,0
San Nicolás,9.33E+17,176271711,0
San Nicolás,7.38E+18,176271711,0
Santa Anita,-7.84E+18,176249865,0
Urbanización Ciudad Jardín,-3.31E+18,176139640,0
Nueva Granada,-3.55E+18,176042085,0
Camino Real-Joaquín Borrero,2.58E+18,176020730,0
Camino Real-Joaquín Borrero,1.57E+18,176020730,0
Camino Real-Joaquín Borrero,7.46E+18,175981320,0
Camino Real-Joaquín Borrero,8.13E+18,175981320,0
Camino Real-Joaquín Borrero,8.75E+18,175981320,0
La Paz,3.36E+18,175700035,0
San Pedro,1.08E+18,175613570,0
Flora Industrial,1.56E+17,175436490,0
Santa Mónica Residencial,6.90E+17,175326151,0
Departamental,9.57E+17,175266885,0
El Cedro,7.10E+18,175264336.5,0
Urbanización San Juaquín,-9.10E+18,175115710,0
Bretana,-7.34E+18,175077670,0
El Calvario,8.73E+18,175026430,0
Lili,1.87E+18,174957490,0
Juanambu,8.48E+18,174950345,0
Guayaquil,1.85E+18,174924601.5,0
Guayaquil,1.08E+18,174924601.5,0
El Calvario,3.85E+18,174881730,0
La Ciudadela Confandi,-7.89E+18,174874945,0
La Merced,2.86E+18,174701130,0
Panamericano,1.46E+18,174693075,0
Camino Real-Los Fundadores,8.23E+18,174471585,0
Camino Real-Los Fundadores,-1.57E+18,174471585,0
Urbanización Río Lili,-5.47E+18,174356355,0
Urbanización Río Lili,-8.28E+18,174344990,0
San Fernando Nuevo,8.79E+18,174341385,0
Urbanización Río Lili,-8.81E+18,174338420,0
El Piloto,-6.32E+18,174236310,0
El Gran Limonar,1.14E+18,174230413.5,0
Urbanización Tequendama,3.92E+18,174171105,0
Alfonso López I,5.06E+18,174126780,0
Lili,-8.28E+18,174120175,0
Chipichape,-9.97E+17,174042060,0
Cataya-El Gran Limonar,-4.71E+18,174025575,0
Chipichape,-6.50E+18,174025335,0
Chipichape,-4.44E+18,174025335,0
Granada,-4.27E+18,174024945,0
San Vicente,4.54E+18,173967156,0
Departamental,-5.69E+18,173964210,0
Chipichape,-5.23E+18,173915765,0
Lili,1.80E+18,173884260,0
Lili,3.07E+18,173884260,0
Urbanización San Juaquín,-8.12E+18,173845680,0
Urbanización La Merced,1.56E+17,173747595,0
Los Portales-Nuevo Rey,-1.88E+17,173672145,0
Urbanización Ciudad Jardín,7.97E+18,173653485,0
Santa Anita,-3.94E+18,173444790,0
Santa Anita,-7.79E+17,173381970,0
Los Cambulos,-6.55E+18,173265495,0
Santa Mónica Residencial,2.97E+18,173192327,0
La Merced,-1.20E+18,173150540,0
Sucre,-6.37E+18,173129970,0
Santa Mónica Residencial,2.09E+18,173093629.5,0
3 de Julio,3.51E+18,173079510,0
Bretana,5.95E+18,172969620,0
Bretana,-3.26E+18,172969620,0
San Juan Bosco,5.95E+18,172968015,0
El Calvario,6.26E+18,172902200,0
Santa Mónica Residencial,-1.12E+18,172822188,0
San Pedro,-5.74E+18,172678682,0
Unión de Vivienda Popular,4.04E+18,172668160,0
Urbanización Ciudad Jardín,5.98E+18,172623295,0
San Pedro,-7.42E+18,172618534,0
Ciudad Los Álamos,9.88E+17,172542105,0
Ciudad Los Álamos,5.40E+18,172542105,0
Ciudad Los Álamos,-4.93E+18,172542105,0
Juanambu,-1.28E+18,172502475,0
Camino Real-Los Fundadores,-3.14E+18,172479840,0
Juanambu,3.90E+18,172360930,0
El Calvario,-2.97E+18,172317915,0
Camino Real-Joaquín Borrero,1.51E+18,172306230,0
Belalcazar,1.06E+18,172243350,0
3 de Julio,3.38E+18,172217285,0
Parcelaciones Pance,4.84E+18,172188015,0
El Calvario,-3.07E+18,172174290,0
Manzanares,3.87E+17,172137165,0
Cuarto de Legua-Guadalupe,1.55E+18,172136925,0
Cuarto de Legua-Guadalupe,4.37E+18,172136925,0
3 de Julio,-8.33E+18,172136805,0
San Vicente,-7.08E+18,171900498,0
Urbanización Tequendama,4.67E+18,171876915,0
Cristobal Colón,-5.85E+17,171699420,0
Julio Rincón,-7.19E+18,171533490,0
Chipichape,6.49E+18,171487560,0
