BARRIO,CLIENTE,MNT TRX,PORCENTAJE POR CLIENTE
Los Guayacanes,4.53E+18,1.62325E+11,0.1
Laureano Gómez,1.65E+18,1.59516E+11,0.1
Paseo del Comercio,-5.35E+18,1.58992E+11,0.1
La Ciudadela Confandi,-5.87E+18,1.58544E+11,0.1
Mariano Ramos,6.98E+18,1.55935E+11,0.1
Unicentro Cali,-2.68E+17,1.54619E+11,0.1
San Nicolás,3.87E+18,1.53885E+11,0.1
Colseguros Andes,6.14E+18,1.5318E+11,0.1
Caney,2.78E+16,1.51245E+11,0.09
Sucre,-6.40E+18,1.50657E+11,0.09
Calima,-1.58E+18,1.49925E+11,0.09
Unicentro Cali,3.37E+17,1.49097E+11,0.09
Brisas de los Álamos,-6.88E+18,1.48975E+11,0.09
Municipal,5.79E+18,1.48191E+11,0.09
El Ingenio,-4.70E+18,1.46942E+11,0.09
Quintas de Don Simón,5.21E+17,1.46281E+11,0.09
Urbanización San Juaquín,-1.93E+18,1.45878E+11,0.09
El Calvario,-1.29E+18,1.45862E+11,0.09
Versalles,1.03E+16,1.45783E+11,0.09
Calima,-6.93E+18,1.45758E+11,0.09
Siete de Agosto,-4.00E+18,1.45445E+11,0.09
Ciudad Los Álamos,8.30E+18,1.44016E+11,0.09
Chapinero,-5.08E+18,1.43821E+11,0.09
Aguacatal,7.82E+18,1.43292E+11,0.09
Bretana,6.18E+18,1.42169E+11,0.09
La Ciudadela Confandi,-1.44E+18,1.41942E+11,0.09
3 de Julio,6.92E+18,1.39694E+11,0.09
San Vicente,-3.20E+18,1.39474E+11,0.09
Los Guayacanes,4.57E+18,1.39174E+11,0.09
Caney,-2.96E+18,1.38985E+11,0.09
El Sena,-7.35E+18,1.38389E+11,0.09
Siete de Agosto,3.97E+18,1.3762E+11,0.09
Pasoancho,7.09E+18,1.36779E+11,0.09
La Rivera,7.89E+18,1.36742E+11,0.09
San Fernando Nuevo,-7.24E+18,1.36347E+11,0.09
La Rivera,-6.02E+18,1.35751E+11,0.09
Siete de Agosto,8.36E+18,1.34633E+11,0.08
Sucre,3.94E+18,1.34515E+11,0.08
La Merced,-3.79E+18,1.34515E+11,0.08
San Pedro,-3.36E+18,1.33874E+11,0.08
La Selva,-5.31E+18,1.33413E+11,0.08
Caney,-5.54E+18,1.33358E+11,0.08
Unidad Residencial Santiago de Cali,-3.09E+18,1.32673E+11,0.08
Desepaz Invicali,-1.96E+17,1.30721E+11,0.08
Los Parques,-1.14E+17,1.29391E+11,0.08
El Guabal,6.32E+18,1.29334E+11,0.08
Centenario,3.79E+18,1.28963E+11,0.08
Caney,4.07E+18,1.2845E+11,0.08
San Luis II,6.51E+18,1.27801E+11,0.08
Junin,-1.20E+18,1.27446E+11,0.08
Desepaz Invicali,3.80E+18,1.26015E+11,0.08
Paseo del Comercio,9.06E+18,1.25646E+11,0.08
Ciudad Los Álamos,1.29E+17,1.25231E+11,0.08
Ciudad Los Álamos,-4.05E+18,1.25231E+11,0.08
El Peñón,2.38E+18,1.24949E+11,0.08
Cuarto de Legua-Guadalupe,-3.38E+18,1.24936E+11,0.08
San Nicolás,-5.64E+18,1.24699E+11,0.08
Ville Grande,4.03E+18,1.24489E+11,0.08
El Jardín,-2.21E+18,1.23806E+11,0.08
Siete de Agosto,5.00E+18,1.23569E+11,0.08
Calima,-6.48E+18,1.23334E+11,0.08
Paseo del Comercio,-1.09E+18,1.23142E+11,0.08
San Vicente,5.07E+18,1.23041E+11,0.08
El Lido,-5.82E+18,1.22754E+11,0.08
Caney,9.02E+17,1.22675E+11,0.08
El Guabal,-8.44E+18,1.22527E+11,0.08
La Independencia,4.73E+18,1.22275E+11,0.08
San Vicente,8.64E+18,1.22005E+11,0.08
Lili,-4.86E+17,1.22E+11,0.08
La Flora,-6.03E+17,1.21704E+11,0.08
Unicentro Cali,-8.22E+18,1.21704E+11,0.08
La Paz,8.03E+18,1.21563E+11,0.08
